StateAbbreviation,ResponsibleDistrictIdentifier,ResponsibleInstitutionIdentifier,LastOrSurname,FirstName,MiddleName,Birthdate,SSID,ExternalSSID,GradeLevelWhenAssessed,Sex,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative,Asian,BlackOrAfricanAmerican,White,NativeHawaiianOrOtherPacificIslander,DemographicRaceTwoOrMoreRaces,IDEAIndicator,LEPStatus,Section504Status,EconomicDisadvantageStatus,LanguageCode,EnglishLanguageProficiencyLevel,MigrantStatus,FirstEntryDateIntoUSSchool,LimitedEnglishProficiencyEntryDate,LEPExitDate,TitleIIILanguageInstructionProgramType,PrimaryDisabilityType,Delete
OR,TEST,TEST,LastName0,Name0,MiddleName0,,LTSTUDENT0,LTSTUDENT0,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName1,Name1,MiddleName1,,LTSTUDENT1,LTSTUDENT1,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName2,Name2,MiddleName2,,LTSTUDENT2,LTSTUDENT2,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3,Name3,MiddleName3,,LTSTUDENT3,LTSTUDENT3,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName4,Name4,MiddleName4,,LTSTUDENT4,LTSTUDENT4,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName5,Name5,MiddleName5,,LTSTUDENT5,LTSTUDENT5,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName6,Name6,MiddleName6,,LTSTUDENT6,LTSTUDENT6,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName7,Name7,MiddleName7,,LTSTUDENT7,LTSTUDENT7,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName8,Name8,MiddleName8,,LTSTUDENT8,LTSTUDENT8,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName9,Name9,MiddleName9,,LTSTUDENT9,LTSTUDENT9,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName10,Name10,MiddleName10,,LTSTUDENT10,LTSTUDENT10,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName11,Name11,MiddleName11,,LTSTUDENT11,LTSTUDENT11,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName12,Name12,MiddleName12,,LTSTUDENT12,LTSTUDENT12,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName13,Name13,MiddleName13,,LTSTUDENT13,LTSTUDENT13,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName14,Name14,MiddleName14,,LTSTUDENT14,LTSTUDENT14,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName15,Name15,MiddleName15,,LTSTUDENT15,LTSTUDENT15,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName16,Name16,MiddleName16,,LTSTUDENT16,LTSTUDENT16,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName17,Name17,MiddleName17,,LTSTUDENT17,LTSTUDENT17,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName18,Name18,MiddleName18,,LTSTUDENT18,LTSTUDENT18,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName19,Name19,MiddleName19,,LTSTUDENT19,LTSTUDENT19,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName20,Name20,MiddleName20,,LTSTUDENT20,LTSTUDENT20,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName21,Name21,MiddleName21,,LTSTUDENT21,LTSTUDENT21,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName22,Name22,MiddleName22,,LTSTUDENT22,LTSTUDENT22,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName23,Name23,MiddleName23,,LTSTUDENT23,LTSTUDENT23,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName24,Name24,MiddleName24,,LTSTUDENT24,LTSTUDENT24,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName25,Name25,MiddleName25,,LTSTUDENT25,LTSTUDENT25,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName26,Name26,MiddleName26,,LTSTUDENT26,LTSTUDENT26,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName27,Name27,MiddleName27,,LTSTUDENT27,LTSTUDENT27,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName28,Name28,MiddleName28,,LTSTUDENT28,LTSTUDENT28,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName29,Name29,MiddleName29,,LTSTUDENT29,LTSTUDENT29,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName30,Name30,MiddleName30,,LTSTUDENT30,LTSTUDENT30,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName31,Name31,MiddleName31,,LTSTUDENT31,LTSTUDENT31,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName32,Name32,MiddleName32,,LTSTUDENT32,LTSTUDENT32,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName33,Name33,MiddleName33,,LTSTUDENT33,LTSTUDENT33,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName34,Name34,MiddleName34,,LTSTUDENT34,LTSTUDENT34,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName35,Name35,MiddleName35,,LTSTUDENT35,LTSTUDENT35,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName36,Name36,MiddleName36,,LTSTUDENT36,LTSTUDENT36,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName37,Name37,MiddleName37,,LTSTUDENT37,LTSTUDENT37,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName38,Name38,MiddleName38,,LTSTUDENT38,LTSTUDENT38,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName39,Name39,MiddleName39,,LTSTUDENT39,LTSTUDENT39,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName40,Name40,MiddleName40,,LTSTUDENT40,LTSTUDENT40,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName41,Name41,MiddleName41,,LTSTUDENT41,LTSTUDENT41,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName42,Name42,MiddleName42,,LTSTUDENT42,LTSTUDENT42,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName43,Name43,MiddleName43,,LTSTUDENT43,LTSTUDENT43,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName44,Name44,MiddleName44,,LTSTUDENT44,LTSTUDENT44,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName45,Name45,MiddleName45,,LTSTUDENT45,LTSTUDENT45,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName46,Name46,MiddleName46,,LTSTUDENT46,LTSTUDENT46,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName47,Name47,MiddleName47,,LTSTUDENT47,LTSTUDENT47,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName48,Name48,MiddleName48,,LTSTUDENT48,LTSTUDENT48,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName49,Name49,MiddleName49,,LTSTUDENT49,LTSTUDENT49,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName50,Name50,MiddleName50,,LTSTUDENT50,LTSTUDENT50,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName51,Name51,MiddleName51,,LTSTUDENT51,LTSTUDENT51,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName52,Name52,MiddleName52,,LTSTUDENT52,LTSTUDENT52,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
